Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration
4,1,1,2,2,1,4,315,140
3,1,3,1,3,3,2,350,28
1,2,2,3,2,4,2,357,126
3,4,1,4,1,2,2,210,84
3,2,3,2,2,2,3,84,147
2,1,2,3,3,2,2,315,35
2,2,2,2,1,1,2,371,49
3,2,1,2,4,2,3,371,112
4,3,3,1,3,3,4,105,49
3,2,3,1,2,2,1,273,147
1,3,2,1,3,2,1,77,56
4,3,2,3,4,2,4,399,56
4,2,3,4,1,1,2,315,105
4,2,3,3,3,3,3,406,112
1,2,2,3,1,2,2,301,49
1,4,1,2,2,3,4,427,21
3,1,2,4,4,2,3,231,98
2,3,4,4,2,1,4,49,98
1,2,1,2,2,2,2,217,49
4,3,2,2,1,2,3,231,49
4,1,3,3,1,1,3,238,63
3,2,2,3,2,3,4,315,7
1,2,3,2,3,2,3,98,28
3,1,2,3,1,2,4,371,70
1,4,2,2,4,3,1,154,98
3,4,2,3,1,1,2,217,126
1,1,2,3,2,3,3,168,35
4,2,2,1,2,1,1,385,140
3,1,2,4,1,1,3,154,112
4,3,1,3,3,2,3,49,14
1,1,1,4,1,1,3,378,21
2,3,2,3,2,2,2,147,42
1,1,1,4,1,3,3,406,56
3,2,2,1,1,2,2,238,105
4,3,2,4,1,1,2,196,77
1,3,1,2,2,3,4,84,49
3,2,3,3,3,3,3,294,49
4,1,3,3,3,2,1,119,126
4,1,2,2,1,2,3,84,21
2,2,3,3,1,3,1,301,91
4,1,4,4,3,3,4,385,7
2,1,3,3,4,2,3,420,105
1,1,3,4,1,3,1,287,42
3,2,1,2,2,3,2,357,21
1,1,3,2,3,2,1,168,140
1,2,1,4,2,2,3,154,49
4,2,3,4,1,3,2,378,28
3,2,3,4,1,2,3,406,98
1,1,1,3,4,3,4,399,84
1,1,2,2,4,3,3,203,42
4,2,1,4,1,2,3,161,126
3,4,2,1,1,2,2,91,7
2,1,3,4,3,1,4,196,63
2,2,2,3,2,3,4,49,105
1,2,2,3,3,3,3,91,49
4,2,3,4,2,2,4,406,147
4,2,3,2,1,1,3,301,105
3,3,2,3,4,2,3,119,49
4,1,3,3,1,2,2,245,56
3,4,1,1,1,4,3,420,98
1,1,2,3,3,1,2,252,28
2,3,4,3,2,2,4,98,84
2,2,3,3,1,2,4,399,77
3,3,2,3,2,3,3,42,91
1,2,2,4,2,4,2,434,84
3,4,3,1,1,2,3,399,105
4,1,1,3,1,2,4,294,70
3,2,3,2,4,2,3,350,28
2,1,1,3,4,2,1,217,28
4,1,4,3,1,1,3,434,63
1,2,1,1,3,2,2,420,42
4,4,2,2,2,1,2,343,77
2,1,2,3,2,2,3,147,84
3,4,2,3,1,3,4,105,147
4,1,3,2,2,2,2,322,112
3,2,2,3,2,3,4,196,7
1,2,2,1,2,1,3,154,112
3,2,2,1,3,1,4,203,140
3,2,2,3,3,2,4,427,91
3,1,3,1,1,1,3,238,77
4,1,3,3,2,2,1,434,119
3,1,1,3,1,2,1,105,21
1,1,1,1,1,3,1,252,119
3,2,4,3,2,1,2,91,49
3,3,4,4,1,1,4,105,98
4,3,1,3,1,2,3,427,49
4,3,2,1,3,2,1,252,49
3,3,4,3,2,1,4,91,84
2,1,2,1,1,1,4,336,42
3,3,4,3,1,1,1,336,77
3,2,2,4,2,1,3,147,98
1,3,3,3,3,2,4,315,84
3,1,3,3,3,2,2,42,133
1,3,2,1,4,2,4,392,77
2,2,3,3,4,3,3,336,91
1,3,1,3,1,3,1,301,126
2,1,2,3,2,4,3,238,77
4,2,1,3,2,1,2,252,14
3,1,1,3,2,2,3,84,126
3,2,2,1,1,1,4,182,140
