Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration
1,3,1,3,3,3,3,329,140
4,4,1,3,1,2,3,42,119
3,2,1,3,4,3,2,336,91
4,1,2,3,2,1,3,294,70
3,4,1,4,2,3,3,105,119
2,2,3,3,4,2,4,175,49
3,4,2,3,1,4,3,266,21
4,2,2,4,2,4,3,392,7
4,1,1,3,1,2,2,406,147
3,1,2,1,1,2,3,280,112
3,4,3,4,2,1,3,378,140
1,1,2,3,1,1,1,427,126
1,3,3,3,2,2,4,133,140
1,1,2,3,1,2,3,336,140
3,3,2,3,1,2,3,315,84
3,1,2,3,1,2,3,189,98
2,2,2,4,1,2,4,252,63
3,1,1,4,2,2,4,385,98
2,3,3,3,2,2,2,336,63
4,4,4,4,2,1,4,238,77
2,1,1,3,4,1,3,406,133
4,2,2,3,3,2,1,301,77
4,1,1,3,4,1,2,126,35
3,1,4,3,1,2,4,217,42
1,3,2,4,1,1,3,224,49
3,3,1,3,3,1,4,259,35
3,1,1,3,1,4,3,56,133
4,1,3,3,3,1,4,91,49
4,1,3,3,3,2,3,238,21
2,1,2,3,3,1,3,56,147
4,2,1,2,3,1,3,420,77
3,1,2,4,1,2,2,84,147
2,1,1,3,2,2,4,147,70
4,1,2,2,1,2,3,70,77
2,1,3,3,3,1,2,336,105
1,3,1,3,1,2,4,266,28
4,2,3,3,1,1,4,133,140
1,3,3,2,4,2,3,399,84
1,2,2,3,2,1,2,294,28
1,1,2,3,3,3,2,84,98
2,3,2,3,1,2,3,203,119
1,1,1,3,3,1,2,273,140
3,1,1,2,3,4,3,245,14
4,3,2,1,1,2,3,91,84
3,2,2,3,3,3,2,98,7
3,2,3,3,3,1,2,357,70
4,3,2,3,3,1,3,77,112
4,2,2,2,1,2,1,161,56
4,3,4,2,1,1,2,245,14
2,1,4,2,2,2,1,392,91
4,1,3,3,2,2,4,301,91
3,3,1,4,2,2,1,280,119
4,1,3,3,4,1,4,210,42
3,3,1,4,3,2,1,196,126
4,3,2,3,1,3,3,84,63
3,2,2,3,3,2,2,168,147
3,2,4,3,3,3,4,196,49
4,1,2,3,2,3,4,77,98
4,1,1,3,3,3,3,427,140
4,4,2,4,2,2,2,98,147
3,2,1,3,3,3,4,252,112
4,3,2,4,1,2,2,168,105
2,1,1,3,2,1,2,357,49
3,3,3,4,3,2,3,357,49
3,1,2,3,2,3,3,420,42
4,3,3,3,3,4,4,301,147
1,3,2,4,1,2,3,427,70
3,1,3,4,1,2,1,224,126
1,1,2,4,1,2,3,105,133
2,1,2,3,1,2,1,441,28
1,1,3,4,3,1,1,364,112
4,4,2,1,1,3,3,308,14
4,3,3,3,1,4,3,364,7
3,1,4,4,3,1,2,126,49
3,2,2,2,1,3,4,329,140
3,2,1,2,2,1,3,105,42
4,2,2,2,1,1,4,315,140
2,1,1,1,2,4,3,245,133
1,1,4,4,1,4,3,168,105
3,3,1,1,2,2,2,252,28
1,1,2,3,2,4,1,63,21
3,1,3,2,1,3,3,161,56
3,4,1,4,1,2,3,371,140
4,2,2,4,1,1,3,308,28
3,3,2,3,1,3,2,168,63
3,4,4,3,2,1,2,217,28
2,2,2,2,2,2,3,357,133
4,2,2,3,3,3,3,70,105
4,3,3,3,4,2,3,154,119
4,1,3,3,2,2,3,154,140
1,1,1,3,3,1,4,154,14
1,4,2,2,1,3,3,280,140
3,1,4,4,1,1,2,301,98
3,2,3,2,2,1,3,91,63
3,1,2,3,3,1,3,280,77
4,2,2,3,1,4,4,161,70
2,4,2,3,1,2,4,336,42
3,2,2,4,3,1,1,112,49
3,1,2,3,1,1,2,245,133
2,1,1,3,3,2,4,105,98
