Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration
3,1,4,1,2,2,4,133,126
4,1,2,4,2,1,3,56,98
2,1,2,3,2,2,3,112,105
3,1,2,1,3,1,4,259,63
3,3,3,3,1,1,3,154,28
2,1,3,3,1,2,2,378,14
3,4,2,1,4,4,4,273,126
3,1,2,3,1,2,3,371,119
1,1,2,4,1,2,4,154,112
1,1,1,3,1,3,2,392,56
1,2,1,3,1,2,4,315,147
4,3,2,3,2,2,4,406,126
1,3,2,4,1,4,2,378,7
1,1,2,3,1,2,3,392,35
4,3,2,3,2,2,1,427,112
3,1,1,4,2,4,2,133,98
3,1,1,3,3,4,4,224,105
1,4,3,4,1,3,4,413,119
4,1,2,3,2,1,1,378,119
2,1,1,1,2,1,4,238,105
3,3,2,2,2,2,4,245,63
3,2,3,3,4,3,3,413,98
1,2,2,3,4,1,2,84,147
3,3,1,2,1,3,2,266,126
1,3,2,3,1,2,3,196,105
4,3,2,4,1,1,4,273,56
2,1,4,3,1,3,3,210,21
1,3,2,1,1,2,4,112,119
1,2,4,4,1,2,2,357,35
3,4,2,2,3,3,3,133,119
3,3,2,2,1,2,3,98,7
3,2,2,3,2,4,1,336,126
1,1,4,3,1,2,2,210,56
4,3,3,3,1,2,3,420,56
3,2,2,3,1,3,4,322,70
1,2,3,4,2,2,4,49,147
1,4,4,4,2,3,2,434,77
3,2,1,3,2,1,4,441,112
3,2,3,4,4,2,1,126,77
3,1,3,3,2,2,3,371,98
1,1,4,2,1,4,4,392,63
1,1,4,4,1,2,3,196,147
3,3,2,3,3,1,4,329,21
1,3,2,2,1,1,4,196,147
3,3,2,4,1,4,4,322,119
2,1,3,3,2,3,2,252,77
3,2,1,2,2,1,4,399,7
1,2,3,3,3,4,4,343,77
2,1,3,3,1,2,3,343,126
2,2,1,3,2,4,2,385,84
3,1,2,2,1,1,3,252,56
4,1,2,2,4,2,2,371,42
4,1,3,4,3,4,1,133,77
2,2,1,2,2,1,1,399,21
4,1,1,1,2,2,2,294,112
4,1,4,3,2,1,3,119,140
3,2,1,3,4,2,4,210,98
4,1,2,3,1,4,3,413,56
4,1,3,4,1,3,1,266,133
4,2,2,2,3,2,3,301,112
4,1,3,1,3,1,2,231,49
3,2,2,2,4,2,3,329,63
4,2,2,1,2,1,3,98,56
3,2,2,3,1,3,3,315,140
3,1,3,3,1,3,3,420,77
4,2,3,4,2,3,3,343,105
3,1,2,1,3,1,4,189,21
1,3,2,3,1,2,3,392,49
2,2,1,1,3,2,3,343,42
4,4,4,1,2,1,2,63,133
3,3,1,3,1,2,3,56,98
4,3,2,2,2,1,3,140,35
3,1,3,3,2,2,3,343,77
1,2,4,3,2,2,3,420,49
3,4,2,4,4,2,4,287,147
3,1,1,3,1,2,3,308,119
3,4,2,3,2,3,4,91,147
1,2,2,3,1,3,2,413,28
4,4,3,3,2,2,4,231,7
2,1,1,3,1,2,3,287,119
3,1,3,3,3,1,4,217,119
1,1,2,3,1,3,1,350,105
3,1,3,4,2,2,3,231,119
1,3,3,2,3,1,2,350,21
1,2,3,3,1,1,3,203,7
4,3,2,3,2,2,4,441,84
3,1,2,3,1,4,4,231,140
1,4,1,4,1,2,3,161,21
4,3,2,4,3,4,4,126,91
3,2,2,4,2,2,2,210,140
1,1,3,3,2,2,4,56,147
1,1,2,2,1,1,4,392,7
4,1,2,3,1,2,3,189,133
1,2,2,3,1,2,2,385,147
1,1,2,3,2,3,4,441,126
3,1,2,3,3,1,4,119,42
1,2,4,2,2,2,2,112,42
4,4,4,3,3,2,3,126,98
1,1,1,3,1,3,3,406,56
3,1,3,1,2,1,4,91,42
