Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration
3,4,2,2,1,3,3,140,112
4,1,3,2,2,2,3,441,84
1,1,2,3,1,2,3,147,105
2,4,2,1,2,1,3,378,28
4,4,2,4,2,2,4,126,49
1,2,2,2,1,1,4,245,56
3,2,2,3,1,3,2,56,126
1,1,2,2,3,2,2,427,147
3,1,4,2,4,2,2,210,119
3,1,3,4,2,2,3,168,133
3,1,3,3,1,2,1,357,35
3,3,3,1,1,2,3,224,112
4,2,1,4,2,2,2,189,133
3,3,2,3,4,4,2,406,35
1,3,3,3,1,3,1,112,91
3,3,3,2,3,2,1,56,14
1,1,2,3,1,2,3,91,112
1,1,3,4,1,2,4,329,119
2,2,1,3,1,2,3,441,119
1,2,3,4,2,2,3,161,105
2,1,3,3,1,2,3,91,98
4,2,1,4,4,4,2,49,7
3,1,4,3,2,3,4,434,7
3,1,1,3,3,4,3,238,84
1,1,2,4,1,3,1,224,105
3,3,1,3,1,2,3,182,98
3,2,3,3,2,3,2,119,77
1,2,3,1,1,1,2,343,21
3,1,3,4,2,3,1,70,28
3,4,1,1,3,2,3,259,84
1,3,2,3,1,1,3,336,119
2,1,4,1,3,2,3,441,84
4,2,3,2,2,1,4,133,21
4,3,1,3,1,1,3,140,49
1,1,2,4,3,1,4,119,21
4,1,3,4,3,2,2,399,49
3,3,2,3,2,3,3,371,49
2,4,2,1,1,2,4,413,119
4,3,1,3,3,3,4,259,105
4,3,3,4,3,2,3,189,84
2,3,2,2,2,3,1,441,133
3,1,1,4,2,3,2,350,70
1,1,2,1,1,2,3,70,56
3,1,2,3,3,2,2,161,98
1,2,2,3,2,2,1,147,147
1,3,2,3,1,3,4,399,119
4,3,2,2,1,1,2,329,147
4,3,2,2,3,3,2,203,77
1,1,1,2,1,1,3,49,28
1,1,2,1,3,2,3,161,42
1,1,1,2,1,3,3,231,126
4,2,3,1,3,2,3,280,126
4,2,3,3,3,2,3,147,49
3,1,2,3,2,2,3,287,35
3,1,1,4,3,1,1,140,28
4,4,3,2,1,2,3,98,126
2,2,2,4,1,1,3,392,119
3,3,2,4,3,3,2,196,70
4,2,3,4,3,2,2,182,91
3,3,4,2,1,3,2,308,84
3,2,2,1,2,3,2,168,84
4,4,1,3,1,2,3,70,105
3,1,2,2,1,2,4,189,7
3,1,1,3,4,3,4,147,140
3,1,1,4,2,1,1,441,126
1,1,3,2,4,2,2,126,84
3,2,1,4,1,2,1,161,35
3,1,2,2,4,1,2,336,70
2,2,2,3,3,3,2,133,119
1,2,1,3,2,1,4,112,147
1,2,2,3,1,2,2,42,21
4,2,3,4,4,1,3,203,84
1,2,3,3,2,2,3,259,35
3,1,2,2,1,2,3,133,28
1,1,2,2,3,2,2,315,63
4,3,1,3,3,3,2,98,56
3,1,2,3,1,1,4,182,21
3,3,1,1,1,4,2,385,14
4,4,1,3,2,2,3,84,35
1,4,2,3,4,1,3,357,56
1,2,1,4,1,2,3,371,119
1,3,1,4,1,2,4,315,133
4,1,1,3,1,3,3,203,7
1,4,4,4,1,1,4,406,35
2,4,2,2,1,2,2,294,140
3,1,1,2,1,4,4,273,35
3,2,2,3,1,3,3,413,119
3,1,1,1,3,1,4,427,56
3,3,1,4,1,2,3,175,42
4,2,4,3,1,3,1,133,147
4,1,3,2,3,1,4,245,35
3,2,4,2,1,2,4,49,147
1,2,4,4,4,2,3,280,98
4,1,3,4,3,2,2,336,56
4,1,2,1,2,4,3,371,35
1,4,2,4,1,3,4,273,42
1,4,1,1,1,3,2,133,147
1,4,2,4,1,3,2,413,35
2,2,1,3,1,2,3,70,70
4,2,1,4,2,2,3,434,7
