Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration
4,2,2,3,3,2,3,77,84
3,3,1,1,2,3,4,112,7
3,1,2,1,4,2,3,154,21
2,3,1,3,4,1,4,245,63
2,1,2,3,3,1,2,154,42
4,2,1,4,1,4,3,259,133
4,3,1,4,3,2,3,175,126
1,1,3,3,2,2,3,42,126
4,3,2,4,1,3,3,224,98
4,1,1,1,2,2,4,77,126
4,1,3,4,1,2,3,413,7
3,1,2,1,3,3,3,84,14
1,2,2,3,2,1,4,105,63
1,4,1,2,1,3,3,189,105
4,1,1,3,2,2,3,322,77
1,1,1,4,4,1,4,336,56
1,3,2,2,2,1,4,434,28
3,2,1,1,2,2,2,175,77
4,1,1,3,1,4,3,203,77
4,1,3,1,3,2,4,175,147
1,4,2,2,3,3,2,441,7
3,1,3,1,2,2,4,168,91
3,1,2,3,1,2,3,182,56
1,2,2,3,3,3,2,441,98
1,1,2,2,1,2,4,245,49
4,2,2,1,3,2,4,77,21
3,3,2,4,3,2,4,364,77
4,3,1,3,3,1,3,91,7
4,4,1,3,3,3,4,413,105
3,4,1,4,3,2,3,280,119
3,3,2,4,2,4,3,259,56
4,1,1,3,2,3,3,357,14
1,3,3,3,3,1,3,154,112
1,1,4,3,2,2,3,112,21
3,2,1,3,2,1,3,364,140
4,1,1,1,2,3,3,420,140
4,1,3,3,2,2,3,245,56
2,1,3,3,2,1,2,329,119
3,2,2,1,4,1,2,378,56
3,2,1,3,2,3,3,273,21
2,3,1,3,1,4,2,406,119
1,1,2,1,3,2,3,427,70
3,1,3,1,2,3,3,385,14
2,3,1,3,3,2,3,154,49
4,1,1,3,1,2,4,224,105
4,1,3,3,2,1,2,224,105
3,2,1,3,1,3,3,308,7
3,2,4,3,3,4,3,392,77
3,2,2,3,1,2,3,322,70
3,1,1,2,1,1,4,168,35
2,1,1,4,3,2,3,280,98
4,4,2,3,3,1,2,252,42
4,3,1,3,1,2,1,259,56
3,1,3,2,1,3,3,273,98
4,2,4,4,2,3,4,56,28
1,4,1,3,3,1,3,266,91
1,4,2,3,1,2,2,427,42
3,1,3,4,4,4,1,63,49
3,4,2,1,1,1,3,189,70
3,1,2,3,1,1,2,91,21
1,3,3,3,1,3,1,70,7
3,1,2,3,1,2,3,49,56
1,2,1,3,2,1,1,364,49
3,2,3,3,1,3,4,70,84
4,2,1,3,3,2,3,91,112
2,1,2,4,2,1,4,133,63
3,1,3,3,1,2,3,217,126
4,4,1,3,1,2,3,182,42
3,1,2,1,1,2,3,210,126
3,2,3,2,1,2,2,301,133
3,1,1,3,4,1,3,77,56
1,1,2,4,1,2,4,189,70
3,2,1,3,3,1,4,406,105
3,3,2,1,3,2,4,77,63
1,2,1,1,1,3,3,329,7
3,2,2,2,2,2,3,203,56
4,3,1,2,3,3,2,112,70
3,1,4,3,2,2,2,224,28
3,1,2,3,2,2,4,329,98
2,4,4,3,1,4,1,406,119
1,2,4,3,2,4,3,168,147
3,2,2,2,3,1,2,189,42
1,3,4,3,2,2,1,42,56
3,3,2,3,2,1,1,154,7
1,2,4,1,1,2,3,413,14
1,4,3,1,2,1,2,343,35
4,2,3,3,4,3,4,287,14
3,2,1,4,1,4,2,119,84
1,4,2,4,1,2,3,294,119
1,1,2,3,1,1,2,147,91
3,2,1,2,1,3,3,371,70
2,1,1,4,1,1,3,287,84
3,1,1,3,1,2,4,266,63
4,1,2,2,1,1,1,406,21
3,2,1,3,1,3,3,126,42
4,1,3,4,3,3,2,434,35
4,1,3,4,4,3,4,406,133
4,1,1,3,1,4,2,56,119
3,2,2,3,1,3,2,175,98
2,1,1,3,1,2,2,420,77
