Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration
4,2,1,2,3,3,4,112,84
3,3,3,4,1,2,4,224,21
3,1,1,3,2,1,2,280,35
4,2,3,2,2,3,2,42,133
3,1,2,2,1,2,2,98,84
1,1,2,3,2,2,2,56,98
1,2,2,3,2,2,3,84,49
4,1,3,3,3,3,2,161,14
3,1,3,4,1,3,2,119,84
3,2,2,3,1,2,2,245,49
3,3,3,4,2,3,3,441,105
3,2,3,2,2,3,1,287,35
1,4,1,4,1,3,3,301,42
1,1,2,4,3,2,4,210,112
4,1,3,1,2,1,3,371,42
3,2,4,2,1,2,3,189,84
3,1,2,1,3,2,2,371,98
3,1,2,3,2,1,2,175,147
3,2,2,2,1,4,3,203,119
3,2,3,3,3,1,2,133,63
3,1,2,2,4,2,2,385,133
1,1,1,3,3,2,3,329,133
1,3,2,4,2,1,4,84,84
3,2,3,2,1,3,4,364,147
4,3,1,2,2,1,1,378,21
2,1,4,3,3,2,3,238,119
4,3,2,3,2,3,2,56,84
4,2,3,4,2,4,2,287,77
1,1,1,3,2,2,2,168,140
3,1,2,4,1,1,4,413,14
4,2,2,3,2,2,4,350,14
2,1,2,3,3,2,2,217,56
4,1,2,4,4,2,2,154,112
3,3,3,4,2,2,4,357,28
3,3,1,2,4,2,3,56,14
3,1,3,2,1,2,4,56,77
3,4,2,3,1,2,4,427,42
1,3,2,1,4,2,2,77,21
3,2,3,4,1,4,3,231,77
4,4,4,1,2,4,2,133,21
3,1,2,4,4,1,2,350,91
3,2,2,2,1,2,2,357,84
3,1,4,2,2,2,3,399,91
2,4,2,4,2,3,1,420,7
1,4,2,3,1,1,4,84,77
1,3,2,1,2,1,1,49,63
1,4,3,4,3,1,1,161,35
4,2,3,1,1,2,3,70,112
3,1,2,3,1,3,3,203,49
1,1,1,2,3,2,4,147,119
3,2,2,3,2,3,2,294,77
3,4,2,4,4,2,2,308,84
3,1,3,3,1,2,3,350,49
4,1,2,3,1,1,2,266,147
1,1,2,1,2,2,3,322,140
3,2,2,2,1,3,3,357,119
3,1,4,4,1,3,3,259,21
3,1,1,4,1,3,2,119,28
4,3,1,2,2,2,3,287,84
2,3,3,4,1,2,2,210,133
3,1,3,2,4,4,2,343,112
3,1,2,1,3,4,3,350,147
4,3,2,3,2,2,4,385,49
2,3,4,4,1,2,3,133,91
4,1,2,3,1,2,2,245,98
2,2,2,4,2,1,2,140,140
3,1,3,4,1,2,2,175,21
3,3,3,4,1,2,2,210,91
3,2,3,1,3,2,3,49,98
3,1,1,3,2,2,3,308,112
1,4,4,2,4,4,3,336,35
1,1,2,4,2,2,4,280,21
3,3,3,3,4,3,1,231,35
3,4,4,4,4,4,1,42,84
4,3,2,3,2,2,1,196,63
3,1,2,1,1,4,4,343,70
3,2,1,2,3,3,3,364,84
1,1,2,3,3,2,3,273,49
1,2,2,1,4,2,3,301,14
4,3,2,3,2,2,2,301,140
3,3,1,4,3,1,3,231,70
4,2,2,2,2,1,4,231,56
3,4,2,3,3,2,2,273,119
1,1,1,2,3,1,2,196,140
1,2,1,4,3,3,3,112,21
3,1,2,4,4,1,2,266,91
1,4,3,2,1,1,2,231,126
4,1,3,3,1,3,3,343,112
4,1,2,1,1,2,4,329,70
1,1,1,3,1,2,3,224,21
3,2,2,1,1,2,1,413,77
3,1,2,3,1,3,4,203,147
1,1,2,3,3,1,4,364,105
1,1,1,1,3,3,3,126,84
1,1,2,3,1,1,3,196,91
3,1,2,2,1,2,3,308,98
3,1,2,3,3,4,3,350,49
4,3,4,3,1,2,2,210,70
1,4,1,4,2,4,3,196,119
4,1,3,3,4,3,3,266,98
