,Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration,Class_label,Start_date,End_date
0,3,4,2,2,1,3,3,140,112,1,2020-07-06,2020-10-26
1,4,1,3,2,2,2,3,441,84,0,2021-05-03,2021-07-26
2,1,1,2,3,1,2,3,147,105,1,2020-07-13,2020-10-26
3,2,4,2,1,2,1,3,378,28,1,2021-03-01,2021-03-29
4,4,4,2,4,2,2,4,126,49,0,2020-06-22,2020-08-10
5,1,2,2,2,1,1,4,245,56,1,2020-10-19,2020-12-14
6,3,2,2,3,1,3,2,56,126,1,2020-04-13,2020-08-17
7,1,1,2,2,3,2,2,427,147,1,2021-04-19,2021-09-13
8,3,1,4,2,4,2,2,210,119,1,2020-09-14,2021-01-11
9,3,1,3,4,2,2,3,168,133,1,2020-08-03,2020-12-14
10,3,1,3,3,1,2,1,357,35,1,2021-02-08,2021-03-15
11,3,3,3,1,1,2,3,224,112,0,2020-09-28,2021-01-18
12,4,2,1,4,2,2,2,189,133,1,2020-08-24,2021-01-04
13,3,3,2,3,4,4,2,406,35,1,2021-03-29,2021-05-03
14,1,3,3,3,1,3,1,112,91,1,2020-06-08,2020-09-07
15,3,3,3,2,3,2,1,56,14,1,2020-04-13,2020-04-27
16,1,1,2,3,1,2,3,91,112,1,2020-05-18,2020-09-07
17,1,1,3,4,1,2,4,329,119,1,2021-01-11,2021-05-10
18,2,2,1,3,1,2,3,441,119,2,2021-05-03,2021-08-30
19,1,2,3,4,2,2,3,161,105,2,2020-07-27,2020-11-09
20,2,1,3,3,1,2,3,91,98,1,2020-05-18,2020-08-24
21,4,2,1,4,4,4,2,49,7,1,2020-04-06,2020-04-13
22,3,1,4,3,2,3,4,434,7,1,2021-04-26,2021-05-03
23,3,1,1,3,3,4,3,238,84,1,2020-10-12,2021-01-04
24,1,1,2,4,1,3,1,224,105,1,2020-09-28,2021-01-11
25,3,3,1,3,1,2,3,182,98,1,2020-08-17,2020-11-23
26,3,2,3,3,2,3,2,119,77,1,2020-06-15,2020-08-31
27,1,2,3,1,1,1,2,343,21,1,2021-01-25,2021-02-15
28,3,1,3,4,2,3,1,70,28,1,2020-04-27,2020-05-25
29,3,4,1,1,3,2,3,259,84,1,2020-11-02,2021-01-25
30,1,3,2,3,1,1,3,336,119,1,2021-01-18,2021-05-17
31,2,1,4,1,3,2,3,441,84,1,2021-05-03,2021-07-26
32,4,2,3,2,2,1,4,133,21,0,2020-06-29,2020-07-20
33,4,3,1,3,1,1,3,140,49,1,2020-07-06,2020-08-24
34,1,1,2,4,3,1,4,119,21,1,2020-06-15,2020-07-06
35,4,1,3,4,3,2,2,399,49,1,2021-03-22,2021-05-10
36,3,3,2,3,2,3,3,371,49,1,2021-02-22,2021-04-12
37,2,4,2,1,1,2,4,413,119,1,2021-04-05,2021-08-02
38,4,3,1,3,3,3,4,259,105,1,2020-11-02,2021-02-15
39,4,3,3,4,3,2,3,189,84,2,2020-08-24,2020-11-16
40,2,3,2,2,2,3,1,441,133,1,2021-05-03,2021-09-13
41,3,1,1,4,2,3,2,350,70,1,2021-02-01,2021-04-12
42,1,1,2,1,1,2,3,70,56,1,2020-04-27,2020-06-22
43,3,1,2,3,3,2,2,161,98,1,2020-07-27,2020-11-02
44,1,2,2,3,2,2,1,147,147,2,2020-07-13,2020-12-07
45,1,3,2,3,1,3,4,399,119,1,2021-03-22,2021-07-19
46,4,3,2,2,1,1,2,329,147,1,2021-01-11,2021-06-07
47,4,3,2,2,3,3,2,203,77,1,2020-09-07,2020-11-23
48,1,1,1,2,1,1,3,49,28,1,2020-04-06,2020-05-04
49,1,1,2,1,3,2,3,161,42,1,2020-07-27,2020-09-07
50,1,1,1,2,1,3,3,231,126,1,2020-10-05,2021-02-08
51,4,2,3,1,3,2,3,280,126,2,2020-11-23,2021-03-29
52,4,2,3,3,3,2,3,147,49,2,2020-07-13,2020-08-31
53,3,1,2,3,2,2,3,287,35,1,2020-11-30,2021-01-04
54,3,1,1,4,3,1,1,140,28,1,2020-07-06,2020-08-03
55,4,4,3,2,1,2,3,98,126,0,2020-05-25,2020-09-28
56,2,2,2,4,1,1,3,392,119,2,2021-03-15,2021-07-12
57,3,3,2,4,3,3,2,196,70,1,2020-08-31,2020-11-09
58,4,2,3,4,3,2,2,182,91,2,2020-08-17,2020-11-16
59,3,3,4,2,1,3,2,308,84,1,2020-12-21,2021-03-15
60,3,2,2,1,2,3,2,168,84,1,2020-08-03,2020-10-26
61,4,4,1,3,1,2,3,70,105,1,2020-04-27,2020-08-10
62,3,1,2,2,1,2,4,189,7,1,2020-08-24,2020-08-31
63,3,1,1,3,4,3,4,147,140,1,2020-07-13,2020-11-30
64,3,1,1,4,2,1,1,441,126,1,2021-05-03,2021-09-06
65,1,1,3,2,4,2,2,126,84,1,2020-06-22,2020-09-14
66,3,2,1,4,1,2,1,161,35,1,2020-07-27,2020-08-31
67,3,1,2,2,4,1,2,336,70,1,2021-01-18,2021-03-29
68,2,2,2,3,3,3,2,133,119,2,2020-06-29,2020-10-26
69,1,2,1,3,2,1,4,112,147,1,2020-06-08,2020-11-02
70,1,2,2,3,1,2,2,42,21,2,2020-03-30,2020-04-20
71,4,2,3,4,4,1,3,203,84,1,2020-09-07,2020-11-30
72,1,2,3,3,2,2,3,259,35,2,2020-11-02,2020-12-07
73,3,1,2,2,1,2,3,133,28,1,2020-06-29,2020-07-27
74,1,1,2,2,3,2,2,315,63,1,2020-12-28,2021-03-01
75,4,3,1,3,3,3,2,98,56,1,2020-05-25,2020-07-20
76,3,1,2,3,1,1,4,182,21,1,2020-08-17,2020-09-07
77,3,3,1,1,1,4,2,385,14,1,2021-03-08,2021-03-22
78,4,4,1,3,2,2,3,84,35,0,2020-05-11,2020-06-15
79,1,4,2,3,4,1,3,357,56,1,2021-02-08,2021-04-05
80,1,2,1,4,1,2,3,371,119,1,2021-02-22,2021-06-21
81,1,3,1,4,1,2,4,315,133,1,2020-12-28,2021-05-10
82,4,1,1,3,1,3,3,203,7,1,2020-09-07,2020-09-14
83,1,4,4,4,1,1,4,406,35,1,2021-03-29,2021-05-03
84,2,4,2,2,1,2,2,294,140,1,2020-12-07,2021-04-26
85,3,1,1,2,1,4,4,273,35,1,2020-11-16,2020-12-21
86,3,2,2,3,1,3,3,413,119,1,2021-04-05,2021-08-02
87,3,1,1,1,3,1,4,427,56,1,2021-04-19,2021-06-14
88,3,3,1,4,1,2,3,175,42,1,2020-08-10,2020-09-21
89,4,2,4,3,1,3,1,133,147,1,2020-06-29,2020-11-23
90,4,1,3,2,3,1,4,245,35,2,2020-10-19,2020-11-23
