,Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration,Class_label,Start_date,End_date
0,4,1,1,2,2,1,4,315,140,2,2020-12-28,2021-05-17
1,3,1,3,1,3,3,2,350,28,2,2021-02-01,2021-03-01
2,1,2,2,3,2,4,2,357,126,3,2021-02-08,2021-06-14
3,3,4,1,4,1,2,2,210,84,2,2020-09-14,2020-12-07
4,3,2,3,2,2,2,3,84,147,1,2020-05-11,2020-10-05
5,2,1,2,3,3,2,2,315,35,2,2020-12-28,2021-02-01
6,2,2,2,2,1,1,2,371,49,3,2021-02-22,2021-04-12
7,3,2,1,2,4,2,3,371,112,2,2021-02-22,2021-06-14
8,4,3,3,1,3,3,4,105,49,3,2020-06-01,2020-07-20
9,3,2,3,1,2,2,1,273,147,2,2020-11-16,2021-04-12
10,1,3,2,1,3,2,1,77,56,2,2020-05-04,2020-06-29
11,4,3,2,3,4,2,4,399,56,2,2021-03-22,2021-05-17
12,4,2,3,4,1,1,2,315,105,3,2020-12-28,2021-04-12
13,4,2,3,3,3,3,3,406,112,3,2021-03-29,2021-07-19
14,1,2,2,3,1,2,2,301,49,3,2020-12-14,2021-02-01
15,1,4,1,2,2,3,4,427,21,2,2021-04-19,2021-05-10
16,3,1,2,4,4,2,3,231,98,2,2020-10-05,2021-01-11
17,2,3,4,4,2,1,4,49,98,2,2020-04-06,2020-07-13
18,1,2,1,2,2,2,2,217,49,3,2020-09-21,2020-11-09
19,4,3,2,2,1,2,3,231,49,2,2020-10-05,2020-11-23
20,4,1,3,3,1,1,3,238,63,2,2020-10-12,2020-12-14
21,3,2,2,3,2,3,4,315,7,2,2020-12-28,2021-01-04
22,1,2,3,2,3,2,3,98,28,2,2020-05-25,2020-06-22
23,3,1,2,3,1,2,4,371,70,2,2021-02-22,2021-05-03
24,1,4,2,2,4,3,1,154,98,2,2020-07-20,2020-10-26
25,3,4,2,3,1,1,2,217,126,2,2020-09-21,2021-01-25
26,1,1,2,3,2,3,3,168,35,2,2020-08-03,2020-09-07
27,4,2,2,1,2,1,1,385,140,0,2021-03-08,2021-07-26
28,3,1,2,4,1,1,3,154,112,2,2020-07-20,2020-11-09
29,4,3,1,3,3,2,3,49,14,2,2020-04-06,2020-04-20
30,1,1,1,4,1,1,3,378,21,2,2021-03-01,2021-03-22
31,2,3,2,3,2,2,2,147,42,3,2020-07-13,2020-08-24
32,1,1,1,4,1,3,3,406,56,2,2021-03-29,2021-05-24
33,3,2,2,1,1,2,2,238,105,2,2020-10-12,2021-01-25
34,4,3,2,4,1,1,2,196,77,2,2020-08-31,2020-11-16
35,1,3,1,2,2,3,4,84,49,2,2020-05-11,2020-06-29
36,3,2,3,3,3,3,3,294,49,2,2020-12-07,2021-01-25
37,4,1,3,3,3,2,1,119,126,3,2020-06-15,2020-10-19
38,4,1,2,2,1,2,3,84,21,2,2020-05-11,2020-06-01
39,2,2,3,3,1,3,1,301,91,3,2020-12-14,2021-03-15
