,Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration,Class_label,Start_date,End_date
0,4,2,2,4,1,3,3,343,147,1,2021-01-25,2021-06-21
1,3,1,2,3,1,3,3,231,63,1,2020-10-05,2020-12-07
2,1,1,2,2,3,2,3,301,63,1,2020-12-14,2021-02-15
3,4,2,4,4,2,3,4,217,70,1,2020-09-21,2020-11-30
4,3,4,3,3,1,2,3,287,70,0,2020-11-30,2021-02-08
5,1,4,2,4,2,3,2,427,21,1,2021-04-19,2021-05-10
6,1,3,1,3,1,4,2,350,7,1,2021-02-01,2021-02-08
7,4,2,2,3,4,2,2,224,14,1,2020-09-28,2020-10-12
8,4,2,2,3,4,3,4,378,35,1,2021-03-01,2021-04-05
9,3,1,1,3,2,3,2,84,42,1,2020-05-11,2020-06-22
10,1,2,1,2,2,3,4,42,147,1,2020-03-30,2020-08-24
11,4,1,1,1,3,3,4,441,98,1,2021-05-03,2021-08-09
12,1,2,2,3,2,4,3,392,77,1,2021-03-15,2021-05-31
13,1,1,2,3,2,1,4,119,140,1,2020-06-15,2020-11-02
14,4,2,2,3,1,3,3,70,105,1,2020-04-27,2020-08-10
15,1,1,2,3,3,1,3,42,42,1,2020-03-30,2020-05-11
16,4,2,1,1,3,3,2,392,77,1,2021-03-15,2021-05-31
17,3,4,3,4,1,2,3,231,42,0,2020-10-05,2020-11-16
18,3,4,3,3,3,3,3,154,21,1,2020-07-20,2020-08-10
19,4,3,4,3,2,3,3,308,63,1,2020-12-21,2021-02-22
20,3,3,4,3,1,3,4,217,77,1,2020-09-21,2020-12-07
21,4,1,2,3,2,1,2,266,42,1,2020-11-09,2020-12-21
22,3,1,3,3,1,2,3,245,49,1,2020-10-19,2020-12-07
23,3,3,3,3,3,1,2,336,70,1,2021-01-18,2021-03-29
24,1,2,3,3,1,1,3,315,70,2,2020-12-28,2021-03-08
25,4,1,4,1,1,2,2,210,14,1,2020-09-14,2020-09-28
26,3,1,3,3,3,1,2,420,119,1,2021-04-12,2021-08-09
27,4,2,1,3,2,4,2,105,126,1,2020-06-01,2020-10-05
28,1,1,2,3,1,2,3,266,21,1,2020-11-09,2020-11-30
29,4,2,2,3,2,1,3,322,98,1,2021-01-04,2021-04-12
30,3,3,1,4,2,4,1,273,70,1,2020-11-16,2021-01-25
31,4,1,2,2,1,2,3,329,56,1,2021-01-11,2021-03-08
32,3,2,3,3,2,3,3,140,119,1,2020-07-06,2020-11-02
33,4,1,3,3,2,2,4,154,42,2,2020-07-20,2020-08-31
34,2,2,2,3,2,2,1,133,21,2,2020-06-29,2020-07-20
35,2,3,2,2,3,2,4,49,49,1,2020-04-06,2020-05-25
36,3,2,1,2,3,3,3,84,126,1,2020-05-11,2020-09-14
37,2,1,3,4,1,3,1,329,84,1,2021-01-11,2021-04-05
38,2,2,1,4,4,1,4,406,63,1,2021-03-29,2021-05-31
39,4,3,1,4,2,3,3,392,21,1,2021-03-15,2021-04-05
40,3,1,2,2,1,1,3,91,49,1,2020-05-18,2020-07-06
41,3,3,2,4,1,2,4,196,105,1,2020-08-31,2020-12-14
42,1,1,2,3,1,3,2,259,147,1,2020-11-02,2021-03-29
43,4,1,2,3,3,1,4,203,77,1,2020-09-07,2020-11-23
44,3,2,2,1,2,2,2,56,28,1,2020-04-13,2020-05-11
45,4,3,2,2,4,2,3,147,70,1,2020-07-13,2020-09-21
46,3,4,2,1,2,3,2,154,98,1,2020-07-20,2020-10-26
47,4,1,1,1,3,1,3,308,84,1,2020-12-21,2021-03-15
48,4,3,2,3,1,2,1,343,21,2,2021-01-25,2021-02-15
49,3,1,1,4,3,3,4,168,28,1,2020-08-03,2020-08-31
50,1,1,3,3,3,1,3,203,98,1,2020-09-07,2020-12-14
51,4,4,1,1,2,1,2,434,126,1,2021-04-26,2021-08-30
52,3,2,2,2,2,1,1,42,14,1,2020-03-30,2020-04-13
53,1,1,2,2,2,1,3,238,119,1,2020-10-12,2021-02-08
54,2,1,2,3,1,4,3,434,7,1,2021-04-26,2021-05-03
55,3,1,1,4,2,1,3,126,42,1,2020-06-22,2020-08-03
56,1,2,2,1,2,2,3,182,98,1,2020-08-17,2020-11-23
57,1,3,3,2,1,4,2,105,63,1,2020-06-01,2020-08-03
58,4,2,2,2,1,1,2,329,7,1,2021-01-11,2021-01-18
59,4,2,2,4,2,3,1,259,105,2,2020-11-02,2021-02-15
60,3,1,3,2,2,3,1,70,98,1,2020-04-27,2020-08-03
61,1,2,1,4,3,4,3,364,119,1,2021-02-15,2021-06-14
62,3,2,2,4,3,2,3,224,77,1,2020-09-28,2020-12-14
63,2,2,3,3,4,3,4,427,77,1,2021-04-19,2021-07-05
64,4,3,2,3,1,1,2,420,140,1,2021-04-12,2021-08-30
65,1,3,3,3,2,1,4,210,98,1,2020-09-14,2020-12-21
66,4,2,2,3,3,3,1,112,140,1,2020-06-08,2020-10-26
67,2,1,2,4,3,2,3,56,77,1,2020-04-13,2020-06-29
68,2,2,2,4,3,3,4,308,140,1,2020-12-21,2021-05-10
69,1,4,1,4,2,4,4,294,112,1,2020-12-07,2021-03-29
