,Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration,Class_label,Start_date,End_date
0,4,2,1,2,3,3,4,112,84,2,2020-06-08,2020-08-31
1,3,3,3,4,1,2,4,224,21,2,2020-09-28,2020-10-19
2,3,1,1,3,2,1,2,280,35,2,2020-11-23,2020-12-28
3,4,2,3,2,2,3,2,42,133,3,2020-03-30,2020-08-10
4,3,1,2,2,1,2,2,98,84,2,2020-05-25,2020-08-17
5,1,1,2,3,2,2,2,56,98,2,2020-04-13,2020-07-20
6,1,2,2,3,2,2,3,84,49,3,2020-05-11,2020-06-29
7,4,1,3,3,3,3,2,161,14,2,2020-07-27,2020-08-10
8,3,1,3,4,1,3,2,119,84,2,2020-06-15,2020-09-07
9,3,2,2,3,1,2,2,245,49,2,2020-10-19,2020-12-07
10,3,3,3,4,2,3,3,441,105,2,2021-05-03,2021-08-16
11,3,2,3,2,2,3,1,287,35,2,2020-11-30,2021-01-04
12,1,4,1,4,1,3,3,301,42,2,2020-12-14,2021-01-25
13,1,1,2,4,3,2,4,210,112,2,2020-09-14,2021-01-04
14,4,1,3,1,2,1,3,371,42,2,2021-02-22,2021-04-05
15,3,2,4,2,1,2,3,189,84,2,2020-08-24,2020-11-16
16,3,1,2,1,3,2,2,371,98,2,2021-02-22,2021-05-31
17,3,1,2,3,2,1,2,175,147,2,2020-08-10,2021-01-04
18,3,2,2,2,1,4,3,203,119,2,2020-09-07,2021-01-04
19,3,2,3,3,3,1,2,133,63,2,2020-06-29,2020-08-31
20,3,1,2,2,4,2,2,385,133,2,2021-03-08,2021-07-19
21,1,1,1,3,3,2,3,329,133,2,2021-01-11,2021-05-24
22,1,3,2,4,2,1,4,84,84,2,2020-05-11,2020-08-03
23,3,2,3,2,1,3,4,364,147,3,2021-02-15,2021-07-12
24,4,3,1,2,2,1,1,378,21,2,2021-03-01,2021-03-22
25,2,1,4,3,3,2,3,238,119,2,2020-10-12,2021-02-08
26,4,3,2,3,2,3,2,56,84,2,2020-04-13,2020-07-06
27,4,2,3,4,2,4,2,287,77,3,2020-11-30,2021-02-15
28,1,1,1,3,2,2,2,168,140,2,2020-08-03,2020-12-21
29,3,1,2,4,1,1,4,413,14,2,2021-04-05,2021-04-19
30,4,2,2,3,2,2,4,350,14,3,2021-02-01,2021-02-15
31,2,1,2,3,3,2,2,217,56,2,2020-09-21,2020-11-16
32,4,1,2,4,4,2,2,154,112,2,2020-07-20,2020-11-09
