,Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration,Class_label,Start_date,End_date
0,2,2,2,3,1,2,2,259,35,3,2020-11-02,2020-12-07
1,4,1,4,3,2,3,3,350,63,2,2021-02-01,2021-04-05
2,2,1,3,4,1,3,4,406,56,2,2021-03-29,2021-05-24
3,4,1,2,3,1,3,3,245,126,2,2020-10-19,2021-02-22
4,4,1,2,4,3,2,3,154,63,2,2020-07-20,2020-09-21
5,3,2,3,4,2,2,3,336,84,1,2021-01-18,2021-04-12
6,4,1,2,1,2,2,2,231,42,2,2020-10-05,2020-11-16
7,4,4,2,3,2,3,2,245,70,1,2020-10-19,2020-12-28
8,2,2,2,4,3,2,4,413,140,2,2021-04-05,2021-08-23
9,2,1,1,3,2,3,4,203,63,2,2020-09-07,2020-11-09
10,1,1,2,1,1,2,2,147,105,2,2020-07-13,2020-10-26
11,4,2,4,3,1,1,3,154,49,2,2020-07-20,2020-09-07
12,3,1,2,2,2,4,3,105,21,2,2020-06-01,2020-06-22
13,4,3,2,2,2,2,3,322,42,2,2021-01-04,2021-02-15
14,2,2,3,3,2,1,3,357,140,3,2021-02-08,2021-06-28
15,2,3,1,3,1,3,3,231,63,2,2020-10-05,2020-12-07
16,4,4,2,3,1,4,4,420,105,2,2021-04-12,2021-07-26
17,3,3,2,2,3,2,2,399,147,2,2021-03-22,2021-08-16
18,3,4,4,3,1,4,4,280,7,2,2020-11-23,2020-11-30
19,2,4,2,3,2,4,2,329,28,2,2021-01-11,2021-02-08
20,1,1,3,1,3,4,3,350,91,2,2021-02-01,2021-05-03
21,1,1,1,4,4,2,2,315,140,2,2020-12-28,2021-05-17
22,3,2,1,3,2,1,4,273,21,2,2020-11-16,2020-12-07
23,1,1,2,4,3,4,2,231,140,2,2020-10-05,2021-02-22
24,1,3,1,1,1,2,2,140,63,2,2020-07-06,2020-09-07
25,1,2,2,1,3,3,3,252,35,2,2020-10-26,2020-11-30
26,3,4,1,2,4,3,3,273,49,2,2020-11-16,2021-01-04
27,1,3,2,4,2,3,3,119,63,2,2020-06-15,2020-08-17
28,3,1,3,4,1,1,3,245,70,2,2020-10-19,2020-12-28
29,3,3,3,3,2,1,4,189,140,2,2020-08-24,2021-01-11
30,4,1,1,3,2,1,4,98,133,2,2020-05-25,2020-10-05
31,1,1,2,3,1,1,2,252,77,2,2020-10-26,2021-01-11
32,3,1,2,3,4,2,2,154,14,2,2020-07-20,2020-08-03
33,4,1,2,4,3,2,2,350,112,2,2021-02-01,2021-05-24
34,1,2,1,3,2,1,4,224,28,2,2020-09-28,2020-10-26
35,2,1,2,3,1,3,2,266,140,2,2020-11-09,2021-03-29
36,4,1,2,3,1,2,4,154,126,2,2020-07-20,2020-11-23
37,3,2,2,2,2,1,4,63,28,2,2020-04-20,2020-05-18
38,1,1,3,3,1,2,2,315,147,2,2020-12-28,2021-05-24
39,1,4,1,3,1,2,4,105,91,2,2020-06-01,2020-08-31
40,1,3,4,2,1,4,2,119,35,2,2020-06-15,2020-07-20
41,4,3,4,4,2,1,1,399,77,2,2021-03-22,2021-06-07
42,3,2,1,3,1,1,3,49,63,2,2020-04-06,2020-06-08
43,3,1,2,1,4,1,2,133,42,2,2020-06-29,2020-08-10
44,1,2,2,3,1,4,2,182,105,2,2020-08-17,2020-11-30
45,4,3,2,3,2,3,2,441,28,2,2021-05-03,2021-05-31
46,4,3,4,4,2,1,3,392,21,2,2021-03-15,2021-04-05
47,2,4,1,4,1,2,3,42,63,2,2020-03-30,2020-06-01
48,1,1,3,3,1,2,2,434,21,2,2021-04-26,2021-05-17
